pilot_id,case_id,hotel_id,decision_week,frequency_status,generic_status,evidence_status
P001,H3_20241028_L4,3,2024_W44,success,success,success
P002,H123_20240923_L4,123,2024_W39,success,success,success
P003,H189_20240318_L4,189,2024_W12,success,success,success
P004,H220_20240722_L4,220,2024_W30,success,success,success
P005,H223_20240415_L4,223,2024_W16,success,success,success
P006,H225_20241104_L4,225,2024_W45,success,success,success
P007,H308_20241125_L4,308,2024_W48,success,success,success
P008,H345_20240923_L4,345,2024_W39,success,success,success
P009,H363_20240729_L4,363,2024_W31,success,success,success
P010,H468_20240909_L4,468,2024_W37,success,success,success
P011,H32_20241014_L4,32,2024_W42,success,success,success
P012,H77_20241202_L4,77,2024_W49,success,success,success
P013,H97_20240115_L4,97,2024_W03,success,success,success
P014,H121_20240826_L4,121,2024_W35,success,success,success
P015,H137_20240422_L4,137,2024_W17,success,success,success
P016,H149_20240729_L4,149,2024_W31,success,success,success
P017,H247_20240923_L4,247,2024_W39,success,success,success
P018,H324_20240401_L4,324,2024_W14,success,success,success
P019,H413_20240610_L4,413,2024_W24,success,success,success
P020,H492_20241104_L4,492,2024_W45,success,success,success
P021,H20_20240819_L4,20,2024_W34,success,success,success
P022,H65_20240819_L4,65,2024_W34,success,success,success
P023,H72_20240129_L4,72,2024_W05,success,success,success
P024,H131_20240923_L4,131,2024_W39,success,success,success
P025,H288_20240311_L4,288,2024_W11,success,success,success
P026,H300_20240617_L4,300,2024_W25,success,success,success
P027,H407_20240722_L4,407,2024_W30,success,success,success
P028,H414_20240513_L4,414,2024_W20,success,success,success
P029,H499_20240429_L4,499,2024_W18,success,success,success
P030,H556_20240603_L4,556,2024_W23,success,success,success
P031,H51_20240129_L4,51,2024_W05,success,success,success
P032,H83_20241021_L4,83,2024_W43,success,success,success
P033,H217_20240311_L4,217,2024_W11,success,success,success
P034,H317_20240506_L4,317,2024_W19,success,success,success
P035,H364_20240520_L4,364,2024_W21,success,success,success
P036,H400_20240617_L4,400,2024_W25,success,success,success
P037,H424_20240930_L4,424,2024_W40,success,success,success
P038,H430_20240226_L4,430,2024_W09,success,success,success
P039,H436_20240429_L4,436,2024_W18,success,success,success
P040,H533_20240722_L4,533,2024_W30,success,success,success
